certificate,genre,rate,metascore,votes,gross,critic_reviews,popularity,awards_wins,awards_nominations,Oscar_Best_Picture_won,Oscar_Best_Picture_nominated,Oscar_Best_Director_won,Oscar_Best_Actor_won,Oscar_Best_Actress_won
PG-13,Action|Adventure|Drama,7.69999981,61.0,107817,54230000.0,136.0,1244.0,0,0,No,No,No,No,No
PG-13,Action|Adventure|Thriller,6.0999999,56.0,173432,160200000.0,262.0,720.0,0,2,No,No,No,No,No
R,Drama|Sci-Fi|Thriller,8.10000038,71.0,603429,730000.0,291.0,375.0,0,2,No,No,No,No,No
R,Biography|Drama|Romance,7.30000019,85.0,21219,4220000.0,102.0,,0,5,No,No,No,No,No
R,Crime|Drama,7.5,86.0,32934,35918429.0,178.0,3341.0,12,34,No,Yes,No,No,No
G,Comedy|Family|Romance,6.19999981,52.0,98072,108240000.0,108.0,976.0,0,1,No,No,No,No,No
R,Comedy|Crime|Mystery,7.0999999,48.0,77973,18490000.0,98.0,1089.0,0,0,No,No,No,No,No
R,Biography|Drama|Sport,6.80000019,65.0,81145,58180000.0,174.0,3557.0,0,6,No,No,No,No,No
R,Drama|Music|Romance,7.69999981,74.0,101307,21990000.0,151.0,2802.0,12,42,No,No,No,No,No
PG-13,Comedy|Romance,6.19999981,59.0,137023,95000000.0,159.0,1326.0,0,3,No,No,No,No,No
R,Drama|Thriller,6.69999981,63.0,64912,52750000.0,150.0,1632.0,1,7,No,No,No,No,No
PG-13,Comedy|Romance,6.4000001,45.0,163275,105810000.0,137.0,917.0,0,0,No,No,No,No,No
R,Horror,6.0,31.0,62657,12580000.0,207.0,2004.0,0,0,No,No,No,No,No
PG-13,Comedy|Drama|Romance,5.0999999,45.0,70125,93820000.0,111.0,2314.0,0,0,No,No,No,No,No
R,Comedy,6.4000001,43.0,205011,145100000.0,140.0,1832.0,1,1,No,No,No,No,No
R,Biography|Drama|War,8.5,85.0,523908,32519322.0,192.0,617.0,6,19,No,Yes,Yes,Yes,No
PG-13,Action|Adventure|Fantasy,6.19999981,39.0,110053,43060000.0,137.0,2072.0,0,0,No,No,No,No,No
PG-13,Action|Adventure|Sci-Fi,6.4000001,51.0,60394,43120000.0,170.0,2260.0,0,0,No,No,No,No,No
PG-13,Comedy|Drama|Fantasy,5.9000001,48.0,111606,70840000.0,108.0,1919.0,0,0,No,No,No,No,No
PG-13,Comedy|Romance,6.19999981,45.0,85921,127210000.0,71.0,1690.0,0,0,No,No,No,No,No
R,Crime|Drama|Thriller,7.69999981,72.0,205911,104050000.0,228.0,1323.0,3,24,No,No,No,No,No
R,Comedy,5.30000019,29.0,123011,71280000.0,127.0,2356.0,0,0,No,No,No,No,No
R,Comedy|Drama,7.19999981,85.0,109795,65010000.0,216.0,3543.0,9,33,No,No,No,No,No
R,Crime|Drama|Thriller,6.80000019,65.0,212089,95310000.0,235.0,1901.0,0,3,No,No,No,No,No
R,Drama|Mystery|Romance,7.0999999,84.0,24349,12990000.0,149.0,,2,4,No,No,No,No,No
PG-13,Action|Mystery|Thriller,7.9000001,68.0,425154,121470000.0,247.0,1031.0,0,1,No,No,No,No,No
PG,Comedy|Family|Romance,6.5999999,62.0,105047,241440000.0,165.0,1760.0,4,15,No,No,No,No,No
R,Fantasy|Mystery|Romance,6.9000001,45.0,211486,100610000.0,154.0,1328.0,2,7,No,No,No,No,No
R,Comedy,6.9000001,51.0,131114,30060000.0,182.0,1218.0,0,0,No,No,No,No,No
